strategy,score_variable,support_coverage_percent,recall_mean,recall_sd,missed_mean,missed_sd,precision_mean,precision_sd,lift_vs_budget
Climate/livelihood shock-only,climate_shock_score,50.0,69.65729986982085,0.0,30.342700130179157,0.0,55.799455440002376,0.0,1.3931459973964169
Drought-only,drought_score,5.0,7.07273180640286,0.0,92.92726819359713,0.0,56.69959818586982,0.0,1.414546361280572
Drought-only,drought_score,10.0,13.453819535089902,0.0,86.5461804649101,0.0,53.88810262551059,0.0,1.3453819535089901
Drought-only,drought_score,15.0,22.700496297574478,0.0,77.29950370242553,0.0,60.636519169971415,0.0,1.5133664198382988
Drought-only,drought_score,20.0,29.093574128747097,0.0,70.9064258712529,0.0,58.28587686706347,0.0,1.4546787064373548
Drought-only,drought_score,25.0,36.78902123464546,0.0,63.21097876535453,0.0,58.96554230464118,0.0,1.4715608493858185
Drought-only,drought_score,30.0,43.35770800870476,0.0,56.64229199129524,0.0,58.015404180492084,0.0,1.4452569336234922
Drought-only,drought_score,40.0,58.866699666148705,0.0,41.133300333851295,0.0,58.94687715322555,0.0,1.4716674916537176
Drought-only,drought_score,50.0,68.57138146525047,0.0,31.428618534749532,0.0,54.94926580933813,0.0,1.3714276293050094
Poverty-only,poverty_score,5.0,4.7901117036006156,0.0,95.20988829639938,0.0,38.39343458242722,0.0,0.958022340720123
Poverty-only,poverty_score,10.0,9.88644001783542,0.0,90.11355998216459,0.0,39.62760079477959,0.0,0.988644001783542
Poverty-only,poverty_score,15.0,15.212352831707493,0.0,84.7876471682925,0.0,40.62039235507283,0.0,1.0141568554471663
Poverty-only,poverty_score,20.0,19.500074569492575,0.0,80.49992543050742,0.0,39.1220447847757,0.0,0.9750037284746288
Poverty-only,poverty_score,25.0,24.154446656458422,0.0,75.84555334354157,0.0,38.70827476697306,0.0,0.9661778662583369
Poverty-only,poverty_score,30.0,30.488414653599655,0.0,69.51158534640034,0.0,40.711788366456744,0.0,1.0162804884533219
Poverty-only,poverty_score,40.0,38.92371125799315,0.0,61.07628874200686,0.0,38.977185352448075,0.0,0.9730927814498287
Poverty-only,poverty_score,50.0,47.8004466305349,0.0,52.1995533694651,0.0,38.29807893075718,0.0,0.956008932610698
Region-burden targeting,region_burden_score,5.0,8.346077474079658,0.0,91.65392252592034,0.0,66.87360013825045,0.0,1.6692154948159315
Region-burden targeting,region_burden_score,10.0,16.285482654709895,0.0,83.7145173452901,0.0,65.33956259154542,0.0,1.6285482654709895
Region-burden targeting,region_burden_score,15.0,22.637019760317767,0.0,77.36298023968223,0.0,60.5177812230831,0.0,1.5091346506878511
Region-burden targeting,region_burden_score,20.0,28.814952103867064,0.0,71.18504789613294,0.0,57.737801851863004,0.0,1.4407476051933532
Region-burden targeting,region_burden_score,25.0,34.95855172344613,0.0,65.04144827655387,0.0,56.0162611973494,0.0,1.3983420689378452
Region-burden targeting,region_burden_score,30.0,40.49429680022401,0.0,59.50570319977599,0.0,54.11417379546002,0.0,1.3498098933408003
Region-burden targeting,region_burden_score,40.0,52.10692743122842,0.0,47.89307256877158,0.0,52.1848034036361,0.0,1.3026731857807106
Region-burden targeting,region_burden_score,50.0,63.09615185080326,0.0,36.90384814919674,0.0,50.54643499249213,0.0,1.2619230370160652
Direct-needs benchmark,direct_need_score,5.0,11.711034121303635,0.0,88.28896587869637,0.0,94.08130658351837,0.0,2.3422068242607272
Direct-needs benchmark,direct_need_score,10.0,23.324415177677487,0.0,76.6755848223225,0.0,93.43353578410569,0.0,2.3324415177677484
Direct-needs benchmark,direct_need_score,15.0,34.832037976489765,0.0,65.16796202351023,0.0,93.0298479739744,0.0,2.322135865099318
Direct-needs benchmark,direct_need_score,20.0,46.65334146571957,0.0,53.34665853428042,0.0,93.44824845778965,0.0,2.3326670732859784
Direct-needs benchmark,direct_need_score,25.0,57.85080367094918,0.0,42.14919632905082,0.0,92.7290626687978,0.0,2.314032146837967
Direct-needs benchmark,direct_need_score,30.0,69.19389545669532,0.0,30.80610454330468,0.0,92.40859949667663,0.0,2.306463181889844
Direct-needs benchmark,direct_need_score,40.0,91.02665627773476,0.0,8.973343722265248,0.0,91.16540947719027,0.0,2.2756664069433685
Direct-needs benchmark,direct_need_score,50.0,100.0,0.0,0.0,0.0,80.12887475112,0.0,2.0
Random targeting,random,5.0,5.032210242456295,0.38183646950005523,94.96778975754374,0.38183646950005545,40.41657987504013,3.0671321645825715,1.0064420484912588
Random targeting,random,10.0,9.966632289723648,0.5609193890128702,90.0333677102764,0.5609193890128702,39.96172617435047,2.249617220341894,0.9966632289723648
Random targeting,random,15.0,15.02280131992397,0.6621859042748885,84.97719868007599,0.6621859042748887,40.14471640154342,1.7671648542116343,1.0015200879949313
Random targeting,random,20.0,20.0001153734013,0.7442082157383288,79.99988462659879,0.744208215738329,40.07553871196329,1.4912487910457894,1.000005768670065
Random targeting,random,25.0,25.03763509088471,0.7788703321184249,74.96236490911528,0.7788703321184252,40.13173610497714,1.246946392526434,1.0015054036353883
Random targeting,random,30.0,29.960568807700078,0.8000336889949727,70.03943119229996,0.8000336889949725,40.015289268597854,1.066764895660751,0.998685626923336
Random targeting,random,40.0,39.96798409063608,0.9607174048771465,60.0320159093639,0.9607174048771467,40.03186712583371,0.9638214056954435,0.9991996022659019
Random targeting,random,50.0,49.931351309510674,0.8638854586575049,50.06864869048934,0.8638854586575052,40.006008597496056,0.6923556426323971,0.9986270261902135
